Site,Method,ResponseId,duration,date,language,metadata_Browser,metadata_Version,metadata_Operating_System,metadata_Resolution,NPS,NPS_GROUP,npswhy,Finished,visit_date,motivations_normalroutine,motivations_supportsite,motivations_relax,motivations_spendtime,motivations_show,motivations_showplus2,motivations_fun_group,motivations_education_group,motivations_education_self,motivations_fun_self,motivations_other,motivations_area,motivations_other_text,exprogshow_explo,exprogshow_explo_4_TEXT,OER,oerwhy,why_oerbad_explo_1,why_oerbad_explo_2,why_oerbad_explo_3,why_oerbad_explo_4,why_oerbad_explo_5,why_oerbad_explo_6,why_oerbad_explo_7,why_oerbad_explo_8,why_oerbad_explo_9,why_oerbad_explo_10,why_oerbad_explo_11,why_oerbad_explo_11_TEXT,previsit_health,postvisit_health,explain_health_good,explain_health_bad,how_handson,explo_healthpractice_1,explo_healthpractice_2,explo_healthpractice_3,explo_healthpractice_4,explo_healthpractice_5,explo_healthpractice_6,explo_healthpractice_7,explo_healthpractice_8,entrytime,ed_quality,ent_quality,valuecost,acton_belonging,exgoodorder,staff_helpful,cafe_exp,giftshop_exp,web_helpful,museum_clean,wayfinding,staff_friendly,restrooms,ratings_ctsc_subway,ratings_ctsc_concessions,timing_explo_First_Click,timing_explo_Last_Click,timing_explo_Page_Submit,timing_explo_Click_Count,seedo_explo_1,seedo_explo_4,seedo_explo_10,seedo_explo_11,seedo_explo_12,seedo_explo_13,seedo_explo_5,seedo_explo_6,seedo_explo_7,seedo_explo_8,seedo_explo_9,seedo_explo_8_TEXT,why_sf_explo_1,why_sf_explo_2,why_sf_explo_3,why_sf_explo_4,why_sf_explo_5,why_sf_explo_6,why_sf_explo_7,why_sf_explo_7_TEXT,howhear_explo_1,howhear_explo_4,howhear_explo_5,howhear_explo_6,howhear_explo_7,howhear_explo_8,howhear_explo_9,howhear_explo_10,howhear_explo_11,howhear_explo_12,howhear_explo_3,howhear_explo_3_TEXT,adremember_explo,adaffect_explo,howarrive_explo,howarrive_explo_5_TEXT,groupmembers_explo_1,groupmembers_explo_4,groupmembers_explo_5,groupmembers_explo_6,groupmembers_explo_7,groupmembers_explo_8,groupmembers_explo_9,groupmembers_explo_3,groupmembers_explo_3_TEXT,language_explo_1,language_explo_4,language_explo_5,language_explo_6,language_explo_7,language_explo_8,language_explo_9,language_explo_10,language_explo_11,language_explo_12,language_explo_13,language_explo_14,language_explo_15,language_explo_16,language_explo_17,language_explo_18,language_explo_19,language_explo_20,language_explo_21,language_explo_22,language_explo_23,language_explo_24,language_explo_3,language_explo_3_TEXT,evermarried_explo,childrenotwith_explo,explo_emergadult,liveinus,zip,non_US,group,lastvisit_covid,lastvisit,howmanyvisits,Nadults,Nchild,race_amind_alask,race_asian,race_afram,race_hisp_lat,race_haw_pacis,race_white,race_other,race_notsay,race_other_text,lgbt,education,education_7_TEXT,income,income_pre,income_covid,disability,dis_mobility,dis_visual,dis_auditory,dis_learning,dis_cognitive,dis_other,dis_notsay,dis_other_text,age,adult1_gender,gender_3_TEXT,adult2_age,adult3_age,adult4_age,adult5_age,adult6_age,adult7_age,adult8_age,adult9_age,adult10_age,adult2_gender,adult3_gender,adult4_gender,adult5_gender,adult6_gender,adult7_gender,adult8_gender,adult9_gender,adult10_gender,adult10plus,child1_age,child2_age,child3_age,child4_age,child5_age,child6_age,child7_age,child8_age,child9_age,child10_age,child1_gender,child2_gender,child3_gender,child4_gender,child5_gender,child6_gender,child7_gender,child8_gender,child9_gender,child10_gender,child10plus,comments,member,AAM_Region,Museum_Type,Size,timezone,month,CY,QR,exittime,staytime0,staytime,day_of_week,weekend,quarter,FY,FYQ,adult1_age,state,race_norace,tot_boy,tot_girl,tot_childgen_other,tot_childgen_notsay,tot_male,tot_female,tot_other,tot_gennotsay,tot_0_3,tot_4_7,tot_8_12,tot_13_17,tot_childage_notsay,tot_childage_dontknow,tot_18_24,tot_25_34,tot_35_44,tot_45_54,tot_55_64,tot_65,tot_agenotsay,tot_agedontknow,zips_explo
the Exploratorium,Staffed,R_1gBmt1S1GJ3Ebzs,1106.699,7/1/21,1,Safari iPad,14.0.2,iPad,768x1024,10,3,It makes learning science very fun,1, , , , , , , ,1,1, , , , , , , ,5, , , , , , , , , , , , , ,4, , , ,5,1,1, , , , , , ,3,10,10,10, ,10,10, ,10, , , , , , , ,4.1,13.321,14.643,6,1,1, , , , ,1,1, , , , , ,1, , , ,1, , ,1, , , , , , , , , , , ,2, ,1, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , ,1,1, ,2,999,111,3, ,5,1,2,2, , , ,1, , , , , ,2,3, , ,7, ,2, , , , , , , , ,49,1, ,4, , , , , , , , ,2, , , , , , , , , ,3,3, , , , , , , , ,1,2, , , , , , , , , ,Amazing place !,2,West,Science,Large,3,7,2021,0,15:56:33,23193,8,5,0,3,22,21,4,999,0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
the Exploratorium,Staffed,R_1llPmOEfpQM7q8K,940.017,7/1/21,1,Safari iPad,14.0.2,iPad,768x1024,10,3, ,1, ,1, , , , , ,1, , , , , , , , ,5, , , , , , , , , , , , , ,3,4, , ,5, , , , , ,1, , ,20,10,10,10, ,10,10, ,10, , , , , , , ,1.443,7.933,8.622,4,1,1, , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , ,1,2,2, ,1,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,94127, ,1, ,4,1,2,3, ,1, , , , , , , ,2,6, , ,10, ,2, , , , , , , , ,43,2, ,4, , , , , , , , , , , , , , , , , , ,3,4,3, , , , , , , , , , , , , , , , , , , ,1,West,Science,Large,3,7,2021,0,16:14:40,8980,4,5,0,3,22,21,3,5,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,5
the Exploratorium,Staffed,R_2tyhKqi75Y34orG,257.306,7/1/21,1,Safari iPad,14.0.1,iPad,768x1024,10,3, ,1, , , , ,1, , , ,1, , , , , , , ,5,Variety of exhibits, , , , , , , , , , , , ,3,3, , ,4,1,1,1,1,1,1,1, ,19,10,10,9, ,8,9, , , , , , , , , ,2.903,10.659,13.051,5,1, , , , , ,1,1, , , , , ,1, , , , , , ,1, , , , , , , , , , , ,2, ,2, ,1,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,94028, ,1, ,4,1,1,2, , , , , ,1, , , ,2,6, , ,9, ,2, , , , , , , , ,53,2, , , , , , , , , , , , , , , , , , , , ,4,4, , , , , , , , ,2,2, , , , , , , , , , ,1,West,Science,Large,3,7,2021,0,16:28:34,10714,4,5,0,3,22,21,4,5,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,6
the Exploratorium,Staffed,R_2UhZN6CE9qRMekp, ,7/1/21,1,Safari iPad,14.0.2,iPad,768x1024,8,2, ,1, , , ,1, , , , , , ,1, , , , , ,4,Fun., , , , , , , , , , , , ,4, , , ,5, ,1,1, , , , , ,38,10,10,10, ,8,10,6, , , , , , , , ,7.681,16.056,18.44,4,1,1, , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , ,2, ,2, , , , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,94080, ,1, ,5,1,2,0, , , ,1, , , , , ,4,3, , ,11, ,3, , , , , , , , ,30,4, ,2, , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,19:41:25,5185,3,5,0,3,22,21,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6
the Exploratorium,Staffed,R_3lsrik995A2mVD4, ,7/1/21,1,Safari iPad,14.0.1,iPad,768x1024,6,1, ,1, , , , , , , , , , ,1, , , , , ,3, , , , , , , , , , , , , ,4, , , ,3, ,1, , , , , , ,37,7,4,9, ,6,5,5,5, , , , , , , ,0.825,11.056,11.641,4,1, , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , ,1,2,2, ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,3, ,4,1, , , , , ,1, , , , , ,2,4, , ,11, ,3, , , , , , , , ,32,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,19:49:24,6564,3,5,0,3,22,21,2, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, 
the Exploratorium,Staffed,R_3gRQwDQmzuXC5u8,626.39,7/1/21,1,Safari iPad,14.0.2,iPad,768x1024,10,3, ,1, ,1, , , , , ,1, , , , , , , , ,4,It was fun !, , , , , , , , , , , , ,3,4, , ,5,1,1,1, , , , , ,39,7,10,10, ,10, , , , , , , , , , ,5.003,8.987,10.224,3,1, , , , , , , , , , , , ,1,1, , , , , , ,1, , , , , , , , , , ,2, ,2, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , ,2,2, ,1, , ,1, ,4,1,2,0, , , ,1, , , , , ,4,6, , ,11, ,2, , , , , , , , ,31,4, ,2, , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,19:57:37,5257,3,5,0,3,22,21,2, ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0, 
the Exploratorium,Staffed,R_3JzpbiepWHW8es1,255.678,7/1/21,1,Safari iPad,14.0.2,iPad,768x1024,10,3, ,1, , , , , , , , , , , ,1, , , , ,5, , , , , , , , , , , , , ,3,4, , ,4, , ,1, , , , , ,41,10,10,10, ,10,10, ,10, , , , , , , ,5.883,24.172,24.924,5,1,1, , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , ,2, ,1, , , ,1, , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1,2, ,2,999,111,3, ,8,1,2,0, , , ,1, ,1, , , ,2,6, , ,7, ,2, , , , , , , , ,30,1, ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,20:15:36,4536,3,5,0,3,22,21,2,999,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
the Exploratorium,Staffed,R_vVwMS3fWS7zQF6F, ,7/1/21,1,Safari iPad,14.0.1,iPad,768x1024,10,3, ,1, , , , , , , ,1, , ,1, , , , , ,5,Exhibit larger than last visit. Food was tasty., , , , , , , , , , , , ,4, , , ,5, ,1,1, , , , , ,37,10,10,10, ,8,10,9, , , , , , , , ,1.807,12.454,13.356,7,1,1, , , , , , ,1, , , , ,1, , , , , , , , , , , , ,1, , , , , ,2, ,2, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,94565, ,1, ,4,1,2,0, , ,1, , , , , , ,2,3, , ,3, ,2, , , , , , , , ,26,1, ,1, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,20:25:20,8720,4,5,0,3,22,21,2,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
the Exploratorium,Staffed,R_1M3UPWDRoLwDrYl,236.963,7/1/21,1,Safari iPad,14.0.2,iPad,768x1024,10,3,It was cool,1, , , , , , , , , , ,1, , , , , ,4, , , , , , , , , , , , , ,3,4,Good, ,5,1,1,1, ,1,1, , ,39,10,10,10, ,10,10,10,10, , , , , , , ,2.472,8.454,9.288,7,1, ,1, , , , ,1, , , , , , , , , ,1, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,95901, ,3, ,7,1,2,0, , , , , ,1, , , ,2,5, , ,1, ,2, , , , , , , , ,23,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,20:33:10,7390,4,5,0,3,22,21,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
the Exploratorium,Staffed,R_2ATEkGsi4RTMDoA,313.334,7/2/21,1,Safari iPad,14.0.2,iPad,768x1024,10,3,Extremely fun for everyone,1, , , , , , , , ,1, ,1, , , , , ,4, , , , , , , , , , , , , ,4, , , ,5,1, , , , , , , ,12,10,10,10, ,10,10, ,10, , , , , , , ,11.405,18.492,19.674,4,1, , , , , , , , , , , ,1,1, , , , , , ,1, , , , , , , , , , , ,1,1,2, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,95350, ,1, ,7,1,2,3, , , ,1, , , , , ,2,3, , ,2, ,2, , , , , , , , ,35,2, ,3, , , , , , , , ,1, , , , , , , , , ,1,1,4, , , , , , , ,1,2,1, , , , , , , , , ,1,West,Science,Large,3,7,2021,0,13:14:15,5355,3,6,0,3,22,21,3,5,0,2,1,0,0,1,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0
