Site,Method,ResponseId,duration,date,language,metadata_Browser,metadata_Version,metadata_Operating_System,metadata_Resolution,NPS,NPS_GROUP,npswhy,Finished,visit_date,motivations_normalroutine,motivations_supportsite,motivations_relax,motivations_spendtime,motivations_show,motivations_showplus2,motivations_fun_group,motivations_education_group,motivations_education_self,motivations_fun_self,motivations_other,motivations_area,motivations_other_text,exprogshow_explo,exprogshow_explo_4_TEXT,OER,oerwhy,why_oerbad_explo_1,why_oerbad_explo_2,why_oerbad_explo_3,why_oerbad_explo_4,why_oerbad_explo_5,why_oerbad_explo_6,why_oerbad_explo_7,why_oerbad_explo_8,why_oerbad_explo_9,why_oerbad_explo_10,why_oerbad_explo_11,why_oerbad_explo_11_TEXT,previsit_health,postvisit_health,explain_health_good,explain_health_bad,how_handson,explo_healthpractice_1,explo_healthpractice_2,explo_healthpractice_3,explo_healthpractice_4,explo_healthpractice_5,explo_healthpractice_6,explo_healthpractice_7,explo_healthpractice_8,entrytime,ed_quality,ent_quality,valuecost,acton_belonging,exgoodorder,staff_helpful,cafe_exp,giftshop_exp,web_helpful,museum_clean,wayfinding,staff_friendly,restrooms,ratings_ctsc_subway,ratings_ctsc_concessions,timing_explo_First_Click,timing_explo_Last_Click,timing_explo_Page_Submit,timing_explo_Click_Count,seedo_explo_1,seedo_explo_4,seedo_explo_10,seedo_explo_11,seedo_explo_12,seedo_explo_13,seedo_explo_5,seedo_explo_6,seedo_explo_7,seedo_explo_8,seedo_explo_9,seedo_explo_8_TEXT,why_sf_explo_1,why_sf_explo_2,why_sf_explo_3,why_sf_explo_4,why_sf_explo_5,why_sf_explo_6,why_sf_explo_7,why_sf_explo_7_TEXT,howhear_explo_1,howhear_explo_4,howhear_explo_5,howhear_explo_6,howhear_explo_7,howhear_explo_8,howhear_explo_9,howhear_explo_10,howhear_explo_11,howhear_explo_12,howhear_explo_3,howhear_explo_3_TEXT,adremember_explo,adaffect_explo,howarrive_explo,howarrive_explo_5_TEXT,groupmembers_explo_1,groupmembers_explo_4,groupmembers_explo_5,groupmembers_explo_6,groupmembers_explo_7,groupmembers_explo_8,groupmembers_explo_9,groupmembers_explo_3,groupmembers_explo_3_TEXT,language_explo_1,language_explo_4,language_explo_5,language_explo_6,language_explo_7,language_explo_8,language_explo_9,language_explo_10,language_explo_11,language_explo_12,language_explo_13,language_explo_14,language_explo_15,language_explo_16,language_explo_17,language_explo_18,language_explo_19,language_explo_20,language_explo_21,language_explo_22,language_explo_23,language_explo_24,language_explo_3,language_explo_3_TEXT,evermarried_explo,childrenotwith_explo,explo_emergadult,liveinus,zip,non_US,group,lastvisit_covid,lastvisit,howmanyvisits,Nadults,Nchild,race_amind_alask,race_asian,race_afram,race_hisp_lat,race_haw_pacis,race_white,race_other,race_notsay,race_other_text,lgbt,education,education_7_TEXT,income,income_pre,income_covid,disability,dis_mobility,dis_visual,dis_auditory,dis_learning,dis_cognitive,dis_other,dis_notsay,dis_other_text,age,adult1_gender,gender_3_TEXT,adult2_age,adult3_age,adult4_age,adult5_age,adult6_age,adult7_age,adult8_age,adult9_age,adult10_age,adult2_gender,adult3_gender,adult4_gender,adult5_gender,adult6_gender,adult7_gender,adult8_gender,adult9_gender,adult10_gender,adult10plus,child1_age,child2_age,child3_age,child4_age,child5_age,child6_age,child7_age,child8_age,child9_age,child10_age,child1_gender,child2_gender,child3_gender,child4_gender,child5_gender,child6_gender,child7_gender,child8_gender,child9_gender,child10_gender,child10plus,comments,member,AAM_Region,Museum_Type,Size,timezone,month,CY,QR,exittime,staytime0,staytime,day_of_week,weekend,quarter,FY,FYQ,adult1_age,state,race_norace,tot_boy,tot_girl,tot_childgen_other,tot_childgen_notsay,tot_male,tot_female,tot_other,tot_gennotsay,tot_0_3,tot_4_7,tot_8_12,tot_13_17,tot_childage_notsay,tot_childage_dontknow,tot_18_24,tot_25_34,tot_35_44,tot_45_54,tot_55_64,tot_65,tot_agenotsay,tot_agedontknow,zips_explo
the Exploratorium,Staffed,R_ABwVGdGKljZ5tip,371.354,7/15/21,1,Safari iPad,14.1.1,iPad,768x1024,9,3, ,1, , , , , , , ,1,1, , , , , , , ,3, , , , , , ,1,1, , , , , ,2,2, , ,5,1,1,1, , ,1, , ,25,7,7,9, ,7,7, , , , , , , , , ,2.649,12.048,13.168,6, ,1,1, , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , ,2, ,2, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,94608, ,1, ,7,1,1,2, , ,1, , , , , , ,1,6, , ,2, ,1,1, , , , , , , ,46,2, , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , ,1,2, , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,16:15:44,4544,3,5,0,3,22,21,4,5,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
the Exploratorium,Staffed,R_10Hn1IfIHyhd7EC,325.774,7/15/21,1,Safari iPad,14.0.1,iPad,768x1024,10,3, ,1, , , , , , , ,1,1, , , , , , , ,4,We enjoy, , , , , , , , , , , , ,2,2, , ,2, , , , ,1, , , ,28,8,8,8, , ,6,5,5, , , , , , , ,10.037,24.24,24.905,5,1,1, , , , , , , , , , ,1, , , , , , , , ,1, , , , , ,1, ,1, , ,2, ,4, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , ,1,1, ,1,94566, ,1, ,8,1,2,2, ,1, , , , , , , ,2,6, , ,10, ,2, , , , , , , , ,49,2, ,4, , , , , , , , , , , , , , , , , , ,2,4, , , , , , , , ,1,2, , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,16:24:35,2375,2,5,0,3,22,21,4,5,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1
the Exploratorium,Staffed,R_1r1exn5XJ6EgCIA,131.683,7/15/21,1,Safari iPad,14.0.1,iPad,768x1024,10,3, ,1, , , , , , , , , , ,1, , , , , ,5, , , , , , , , , , , , , ,4, , , ,5, , , , , , , ,1,25, , , , , , , , , , , , , , , ,0.362,0.362,2.45,1, , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , , , , , ,3,1,1, , , , , , , ,1, , ,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , ,1,1, ,2,999, ,1, ,8,1,2, ,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,16:29:47,5387,3,5,0,3,22,21,7,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
the Exploratorium,Staffed,R_2qmav3vh4cCvTrP,128.445,7/15/21,1,Safari iPad,14.1.1,iPad,768x1024,5,1, ,1, , , , , , , ,1, , , , , , , , ,3, , , , , , , , , , ,1, , ,2,3, , ,5, , , , , , , ,1,14,6,6,6, ,9,9,9,9, , , , , , , ,1.137,3.726,4.521,3, , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , ,1, , ,2, ,3, , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,3,1, ,1, , ,2, ,5,1,2,2, , ,1, , , , , , ,2,2, , ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,16:31:29,15389,6,5,0,3,22,21,7, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 
the Exploratorium,Staffed,R_2VR6BkUl8s47UEe,182.752,7/15/21,1,Safari iPad,14.0.1,iPad,768x1024,10,3, ,1, , , , , , , ,1, , ,1, , , , , ,4, , , , , , , , , , , , , ,3,4, , ,4, ,1,1, ,1, , , ,23,10,10,10, ,10,10,10,10, , , , , , , ,2.889,5.593,6.255,3,1, , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , ,2, ,1, ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,1, , ,3, ,8,1,3,0, , , , , ,1, , , ,2,6, , ,4, ,2, , , , , , , , ,43,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,16:35:18,9318,4,5,0,3,22,21,3, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, 
the Exploratorium,Staffed,R_2s5vriI1fiWUXKX,124.545,7/15/21,1,Safari iPad,14.1.1,iPad,768x1024,10,3, ,1, , , , , , , , ,1, , , , , , , ,4, , , , , , , , , , , , , ,3,2, , ,1,1, , , , , , , ,3, , , , , , , , , , , , , , , ,1.546,3.115,3.722,6,1, , , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , ,2, ,4, ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,2,999, ,2, ,5,1,2,2, , , ,1, , , , , ,2,3, , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,16:49:32,26372,9,5,0,3,22,21,7,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
the Exploratorium,Staffed,R_2OHgd1WpRoiZ81n,434.038,7/15/21,1,Safari iPad,14.1.1,iPad,768x1024,10,3, ,1, , , , ,1, , , , , ,1, , , , , ,5, Exhibits are amazing, , , , , , , , , , , , ,2,4, , ,4,1,1,1,1, , , , ,11,10,10,10, ,10,10, ,10, , , , , , , ,13.751,33.54,34.42,4,1, , , , , , ,1, , , , , ,1, , , , , , ,1, , , , , , , , , , , ,1,1,2, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,95403, ,2, ,4,1,4,1, , ,1,1, ,1, , , ,2,4, , ,5, ,2, , , , , , , , ,50,2, ,2,3,2, , , , , , ,1,2,2, , , , , , , ,3, , , , , , , , , ,1, , , , , , , , , , , ,1,West,Science,Large,3,7,2021,0,17:00:04,19804,7,5,0,3,22,21,4,5,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,9
the Exploratorium,Staffed,R_2czsxTgCFi4NJy7,728.935,7/15/21,1,Safari iPad,14.1.1,iPad,768x1024,10,3,Something for everyone,1, , , , ,1, , , , , , , , , , , ,5, , , , , , , , , , , , , ,4, , , ,5,1,1, , , , , , ,37,10,10,10, ,10,10, , , , , , , , , ,7.237,20.212,21.135,5,1, , , , , ,1, , , , , , ,1, , , , , , ,1, , , , , , , , , , , ,2, ,2, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,95864, ,3, ,7,1,2,0, ,1, , , ,1, , , ,2,4, , ,5, ,2, , , , , , , , ,69,1, ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,It was fun,2,West,Science,Large,3,7,2021,0,20:03:26,7406,4,5,0,3,22,21,6,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
the Exploratorium,Staffed,R_1JJgnX60orpO6lr,789.725,7/15/21,1,Safari iPad,14.1.1,iPad,768x1024,8,2, ,1, , , , ,1, , , , , ,1, , , , , ,4, , , , , , , , , , , , , ,4, , , ,5,1, , , , , , , ,39,7,8,8, ,6, , , , , , , , , , ,1.294,11.618,12.471,4,1, , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , ,2, ,2, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,94110, ,1, ,5,1,2,0, , , , , ,1, , , ,1,4, , ,5, ,2, , , , , , , , ,24,2, ,1, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,20:19:58,6598,3,5,0,3,22,21,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5
the Exploratorium,Staffed,R_2TAlQ6gOJifxTJu,166.21,7/15/21,1,Safari iPad,14.0.1,iPad,768x1024,10,3, ,1, , , , , , , ,1, , , , , , , , ,5, , , , , , , , , , , , , ,4, , , ,4, ,1,1, ,1,1, , ,40,10,10,10, ,10, , , , , , , , , , ,0.909,3.991,4.264,5,1,1, , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , ,2, ,2, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1, , ,1, ,5,1,2,0, , , , , ,1, , , ,2,4, , ,5, ,2, , , , , , , , ,29,2, ,2, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,20:45:51,7251,4,5,0,3,22,21,2, ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0, 
the Exploratorium,QR,R_3sitH7orNzvxHMz,212.4,7/15/21,1,Safari iPhone,14.1.1,iPhone,375x812,10,3, ,1, , , , , , , , , , ,1, , , , , ,5,It was a lot of fun, , , , , , , , , , , , ,4, , , ,5, ,1,1, , , , , , ,10,10,10, ,10, , ,10, , , , , , , ,1.676,4.406,5.023,4,1,1, , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , ,2, ,4, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,94110, ,1, ,6,1,2,0, , , , , ,1, , , ,2,4, , ,9, ,2, , , , , , , , ,24,2, ,2, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,1,20:57:01, , ,5,0,3,22,21,1,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5
the Exploratorium,QR,R_3gR8wDT7OzqQjI2,276.614,7/15/21,1,Chrome,91.0.4472.120,Android 11,384x854,10,3,"So many different things to see, really interesting and easy to understand.",1, , , , ,1, , , , , ,1, , , , , ,4, , , , , , , , , , , , , ,4, , , ,2,1,1,1,1,1,1,1, , ,10,10,10, ,10,10, , , , , , , , , ,3.806,8.602,8.973,2,1, , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , ,2, ,2, , , ,1, , , , , , ,1, , , ,1, , , , , , , , , , , ,1, , , , , , , ,1,1, ,1,94523, ,1, ,8,1,1,0, , , ,1, , , , , ,2,6, , ,5, ,2, , , , , , , , ,37,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,1,21:02:13, , ,5,0,3,22,21,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
the Exploratorium,Staffed,R_0eaBIzSH6ejMXaF,466.563,7/16/21,1,Safari iPad,14.1.1,iPad,768x1024,10,3,Interactive,1, , , , , , , , ,1, , , , , , , ,5, , , , , , , , , , , , , ,4, , , ,5,1,1,1, , , , , ,13,10,10,10, ,10,10,10,10, , , , , , , ,3.58,13.254,13.906,5,1, , , , , , ,1, , , , ,1, , , , , , , , , , , , , ,1, , , , , ,1,1,1, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,76092, ,3, ,5,1,1,1, , ,1, , , , , , ,2,5, , ,9, ,2, , , , , , , , ,49,1, , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , ,2, , , , , , , , , , ,We love this place.,2,West,Science,Large,3,7,2021,0,13:19:22,4762,3,6,0,3,22,21,4,43,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
the Exploratorium,Staffed,R_1jDjcu2br0fQNPO,698.865,7/16/21,1,Safari iPad,14.1.1,iPad,768x1024,8,2,Engaging for wide range of knowledge levels.,1, , , , ,1, , , , , ,1, , , , , ,4, , , , , , , , , , , , , ,2,3, , ,4,1,1,1,1,1,1, , ,9,8,7,7, ,9,7, , , , , , , , , ,3.91,8.788,12.569,5,1,1,1, , , , , , , , , ,1, , , , , , , ,1,1, , , , , , , , , , ,2, ,1, ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,97203, ,3, ,5,1,2,0, , , , , ,1, , , ,1,6, , ,3, ,2, , , , , , , , ,42,2, ,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"The what can we do about climate change exhibit included no systemic solutions, only individual action with the exception of dev nations vs under. This is beyond irresponsible. Policy level and major systemic change on the level of alternatives to capitalism are the only reasonable chance for a solution. You’re using the fossil fuel industry propaganda of blaming the individual. BP invented the concept of individual carbon footprint to promulgate this idea. Don’t reinforce it.",2,West,Science,Large,3,7,2021,0,13:58:53,10733,4,6,0,3,22,21,3,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
the Exploratorium,QR,R_3jTFcfWwd3EW5jT, ,7/16/21,1,Safari iPhone,14.1.1,iPhone,414x896,10,3, ,1, , , , ,1, , , ,1, , , , , , , ,5,My kids loved this experience! They had a great time learning and having fun. The wife and I loved the learning experience and learning about the cow eye dissection., , , , , , , , , , , , ,4, , , ,5,1,1,1, , , , , , ,10,10,10, ,10,10, , , , , , , , , ,1.584,16.884,41.556,6,1,1, , , , ,1, , , , , ,1, , , , ,1, , ,1,1, , , , , , , , ,1,When I was a kid I was here on a field trip then my sister reminded me about this place.,2, ,2, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , ,1,1, ,1,92122, ,3, ,7,1,2,2, , , , , , , , , , ,4, , ,5, ,2, , , , , , , , ,40,1, ,2, , , , , , , , ,2, , , , , , , , , ,3,2, , , , , , , , ,1,2, , , , , , , , , ,Had a great time!,2,West,Science,Large,3,7,2021,1,14:21:44, , ,6,0,3,22,21,3,5,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
the Exploratorium,Staffed,R_2uF1KEyceem8Gjp,466.295,7/16/21,1,Safari iPad,14.1.1,iPad,768x1024,8,2, ,1, , , , , , , , , , , ,1, , , , ,4,Excellent exhibits- but was let down by the fact the most interactive ones were closed, , , , , , , , , , , , ,4, , , ,4,1,1,1,1, , , , ,14,8,8,8, ,7,10, , , , , , , , , ,1.834,7.234,9.164,3,1, , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , ,3,2,2, , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , ,1,2, ,1,94066, ,2, ,7,1,2, , ,1, , , ,1, , , ,2,4, , ,5, ,1, , , , , , ,1, ,43,2, ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,14:44:45,8985,4,6,0,3,22,21,3,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6
the Exploratorium,Staffed,R_1pzMFtCr6T2LJsw,196.802,7/16/21,1,Safari iPad,14.1.1,iPad,768x1024,10,3,Great for kids,1, , , , , , , ,1,1, , , , , , , ,5, , , , , , , , , , , , , ,2,4, , ,5, , , , , ,1, , ,7,10,10,10, ,10,10,10,10, , , , , , , ,2.541,12.498,13.169,6,1,1, , , , ,1, ,1, , , , , ,1, , , , , ,1, , , , , , , , , , , ,2, ,2, , , , , ,1, , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , ,1, ,8,1,2,2, , , ,1, , , , , ,1,4, , ,2, ,2, , , , , , , , ,22,2, ,1, , , , , , , , ,2, , , , , , , , , ,2,2, , , , , , , , ,1,2, , , , , , , , , , ,1,West,Science,Large,3,7,2021,0,14:50:36,15636,6,6,0,3,22,21,1, ,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0, 
the Exploratorium,Staffed,R_1rJLxsZzUbXE2No,1071.337,7/16/21,1,Safari iPad,14.1.1,iPad,768x1024,8,2, ,1, , , , ,1, , , ,1, , , , , , , ,4, , , , , , , , , , , , , ,4, , , ,5, ,1,1, , , , , ,7,9,8,9, ,10, , , , , , , , , , ,4.451,15.63,17.728,7,1,1, , , , ,1,1, , , , , ,1, , , , , , ,1, , , , , , , , , , , ,2, ,2, , ,1,1, , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , ,1, , ,1,1, ,1,95120, ,1, ,7,1,6,4, ,1,1, , ,1, , , ,2,6, , ,9, ,2, , , , , , , , ,50,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,West,Science,Large,3,7,2021,0,15:12:22,16942,6,6,0,3,22,21,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
the Exploratorium,Staffed,R_3Rjzyl8MOJVe38m,209.467,7/16/21,1,Safari iPad,14.1.1,iPad,768x1024,10,3, ,1, , , , ,1, , , ,1, , , , , , , ,5, , , , , , , , , , , , , ,3,4, , ,5,1,1,1, , , , , ,15,10,10,10, ,7,10,10,10, , , , , , , ,4.417,15.525,16.916,7,1,1,1, , , , , ,1, , , , ,1, , , , , , ,1, , , , , , , , , , , ,2, ,4, ,1,1,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,4,1,3,1, , , , , ,1, , , ,2,6, , ,6, ,2, , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,West,Science,Large,3,7,2021,0,15:17:53,10073,4,6,0,3,22,21,7, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 
the Exploratorium,Staffed,R_2aK04ehUK9VBlyS,290.28,7/16/21,1,Safari iPad,14.0.1,iPad,768x1024,7,2, ,1, , , , , , , , , , ,1, , , , , ,4, , , , , , , , , , , , , ,4, , , ,4,1,1,1, , , , , ,22,10,10,10, ,10,10, ,10, , , , , , , ,1.32,15.551,16.268,8,1,1, , , , , ,1, , , , , , , , , ,1, , ,1, , , , , , , , , , , ,2, ,2, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , ,2,2, ,1,95354, ,3, ,6,1,2,3, , , ,1,1, , , , ,2,2, , ,4, ,2, , , , , , , , ,28,1, ,2, , , , , , , , ,2, , , , , , , , , ,4,4,4, , , , , , , ,2,2,2, , , , , , , , , ,2,West,Science,Large,3,7,2021,0,15:32:43,4663,3,6,0,3,22,21,2,5,0,0,3,0,0,1,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
the Exploratorium,QR,R_1IgC8tGJ83boZWz,275.386,7/16/21,1,Chrome iPhone,91.0.4472.80,iPhone,375x667,9,3,"Exhibits are of high quality, and actually in working order",1, , , , , , , ,1,1, , , , , , , ,4, , , , , , , , , , , , , ,4, , , ,5,1, ,1,1, , , , , ,8,8,6, ,9,8, , , , , , , , , ,6.013,11.966,12.572,6,1,1, , , , , ,1, , , , , ,1, , , , , , ,1, , , , , , , , , , , ,2, ,4, ,1,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,94611, ,1, ,4,1,1,3, , , , , , , ,1, ,2,4, , ,7, ,2, , , , , , , , ,41,1, , , , , , , , , , , , , , , , , , , , ,3,3,2, , , , , , , ,2,2,2, , , , , , , , , ,1,West,Science,Large,3,7,2021,1,15:47:58, , ,6,0,3,22,21,3,5,0,0,3,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1
the Exploratorium,Staffed,R_25ymuq84pMnG9uo,182.611,7/16/21,1,Safari iPad,14.0.1,iPad,768x1024,9,3, ,1, , , , , , , ,1, , , , , , , , ,4, , , , , , , , , , , , , ,4, , , ,5, ,1, , , , , , ,17,10,10,10, ,9,6,5,6, , , , , , , ,1.213,8.355,9.206,6,1,1, , , , , , ,1, , , , , ,1, , , , , ,1, , , , , , , , , , , ,2, ,2, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,4,1,1,0, , ,1, , , , , , ,2,4, , ,2, ,2, , , , , , , , ,34,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,15:58:12,10692,4,6,0,3,22,21,2, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, 
the Exploratorium,Staffed,R_2qmANIrU4DREhJa,534.664,7/16/21,1,Safari iPad,14.1.1,iPad,768x1024,10,3, ,1, , , , , ,1, , , , ,1, , , ,3, ,4, , , , , , , , , , , , , ,4, , , ,5,1,1,1,1,1, , , ,21,8,9,10, ,8,8,0,0, , , , , , , ,10.254,30.372,31.325,3,1, , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , ,3,1,4, ,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,2,2, ,1,94118, ,1, ,4,1,2,0, ,1, , , , , , , ,2,4, , ,1, ,2, , , , , , , , ,40,2, ,3, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,16:22:57,8577,4,6,0,3,22,21,3,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5
the Exploratorium,QR,R_25X87ua50daWq9u,206.143,7/16/21,1,Safari iPhone,14.1.1,iPhone,414x896,8,2, ,1, , , , , , , ,1, , , , , , , , ,3, , , , , , , , , , , , , ,3,4, , , , , , , , , , , , ,10,10,10, ,10,10,10,10, , , , , , , ,10.008,10.24,11.341,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1, , , , , , ,2,0, ,1, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,1,16:35:41, , ,6,0,3,22,21,7, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 
the Exploratorium,QR,R_1EZsx39G2uPiBoJ, ,7/16/21,1,Safari iPhone,14.1.1,iPhone,375x667,10,3,"Educational, inspiring, mind-expanding, and hands-on!",1, , , , ,1,1, , , , , , , , ,4,Tristan Duke Aperture Lucida,5, , , , , , , , , , , , , ,2,3,Appreciated that masks are still required, ,4,1,1, , , ,1, , , ,10,10,8, ,9,10,8, , , , , , , , ,4.393,52.109,52.835,5,1,1, , , , , , ,1, , , , ,1, , , , , , ,1, , , , , , , , , , , ,1,2,2, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,1,94708, ,1, ,4,1,2,0, , , , , , , ,1, ,4,6, , ,11, ,2, , , , , , , , ,58,1, ,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Keep up the good work!,1,West,Science,Large,3,7,2021,1,16:38:44, , ,6,0,3,22,21,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
